iteration;avg_executed;avg_worst;avg_average;avg_best
0;-76.9095424767516;-76.9095424767516;-76.9095424767516;-76.9095424767516
1;-76.9095424767516;-76.9095424767516;-76.9095424767516;-76.9095424767516
2;-76.9095424767516;-76.9095424767516;-76.9095424767516;-76.9095424767516
3;-76.9095424767516;-76.9095424767516;-76.9095424767516;-76.9095424767516
4;-76.9095424767516;-76.9095424767516;-76.9095424767516;-76.9095424767516
5;-76.9095424767516;-76.9095424767516;-76.9095424767516;-76.9095424767516
6;-76.9095424767516;-76.9095424767516;-76.9095424767516;-76.9095424767516
7;-76.9095424767516;-76.9095424767516;-76.9095424767516;-76.9095424767516
8;-76.9095424767516;-76.9095424767516;-76.9095424767516;-76.9095424767516
9;-76.9095424767516;-76.9095424767516;-76.9095424767516;-76.9095424767516
10;-76.9095424767516;-76.9095424767516;-76.9095424767516;-76.9095424767516
